Word	Category	Study
Dancing	Charades - Actions	
Swimming	Charades - Actions	
Cooking	Charades - Actions	
Driving	Charades - Actions	
Fishing	Charades - Actions	
Skiing	Charades - Actions	
Typing	Charades - Actions	
Painting	Charades - Actions	
Singing	Charades - Actions	
Sleeping	Charades - Actions	
Running	Charades - Actions	
Jumping	Charades - Actions	
Eating	Charades - Actions	
Drinking	Charades - Actions	
Reading	Charades - Actions	
Writing	Charades - Actions	
Cleaning	Charades - Actions	
Shopping	Charades - Actions	
Crying	Charades - Actions	
Laughing	Charades - Actions	
Sneezing	Charades - Actions	
Yawning	Charades - Actions	
Stretching	Charades - Actions	
Whistling	Charades - Actions	
Clapping	Charades - Actions	
Waving	Charades - Actions	
Hugging	Charades - Actions	
Kissing	Charades - Actions	
Shaking Hands	Charades - Actions	
High-Fiving	Charades - Actions	
Climbing	Charades - Actions	
Crawling	Charades - Actions	
Skipping	Charades - Actions	
Hopping	Charades - Actions	
Tiptoeing	Charades - Actions	
Surfing	Charades - Actions	
Skateboarding	Charades - Actions	
Bowling	Charades - Actions	
Golfing	Charades - Actions	
Boxing	Charades - Actions	
Wrestling	Charades - Actions	
Juggling	Charades - Actions	
Magic Trick	Charades - Actions	
Blowing Bubbles	Charades - Actions	
Flying a Kite	Charades - Actions	
Riding a Bike	Charades - Actions	
Rowing a Boat	Charades - Actions	
Paddling a Canoe	Charades - Actions	
Ice Skating	Charades - Actions	
Roller Skating	Charades - Actions	
Snowboarding	Charades - Actions	
Rock Climbing	Charades - Actions	
Bungee Jumping	Charades - Actions	
Parachuting	Charades - Actions	
Scuba Diving	Charades - Actions	
Snorkeling	Charades - Actions	
Horseback Riding	Charades - Actions	
Weightlifting	Charades - Actions	
Doing Yoga	Charades - Actions	
Meditating	Charades - Actions	
Taking a Selfie	Charades - Actions	
Texting	Charades - Actions	
Video Calling	Charades - Actions	
Playing Video Games	Charades - Actions	
Knitting	Charades - Actions	
Sewing	Charades - Actions	
Ironing	Charades - Actions	
Vacuuming	Charades - Actions	
Mopping	Charades - Actions	
Gardening	Charades - Actions	
Planting Flowers	Charades - Actions	
Mowing the Lawn	Charades - Actions	
Raking Leaves	Charades - Actions	
Shoveling Snow	Charades - Actions	
Washing Dishes	Charades - Actions	
Brushing Teeth	Charades - Actions	
Combing Hair	Charades - Actions	
Shaving	Charades - Actions	
Putting on Makeup	Charades - Actions	
Tying Shoes	Charades - Actions	
Pizza	Charades - Food & Snacks	
Spaghetti	Charades - Food & Snacks	
Hamburger	Charades - Food & Snacks	
Hot Dog	Charades - Food & Snacks	
Taco	Charades - Food & Snacks	
Burrito	Charades - Food & Snacks	
Nachos	Charades - Food & Snacks	
French Fries	Charades - Food & Snacks	
Chicken Nuggets	Charades - Food & Snacks	
Popcorn	Charades - Food & Snacks	
Ice Cream Cone	Charades - Food & Snacks	
Popsicle	Charades - Food & Snacks	
Lollipop	Charades - Food & Snacks	
Cotton Candy	Charades - Food & Snacks	
Cupcake	Charades - Food & Snacks	
Birthday Cake	Charades - Food & Snacks	
Donut	Charades - Food & Snacks	
Cookie	Charades - Food & Snacks	
Brownie	Charades - Food & Snacks	
Candy Bar	Charades - Food & Snacks	
Gummy Bears	Charades - Food & Snacks	
Jelly Beans	Charades - Food & Snacks	
Chocolate	Charades - Food & Snacks	
Marshmallow	Charades - Food & Snacks	
S'mores	Charades - Food & Snacks	
Apple	Charades - Food & Snacks	
Banana	Charades - Food & Snacks	
Orange	Charades - Food & Snacks	
Grapes	Charades - Food & Snacks	
Watermelon	Charades - Food & Snacks	
Strawberry	Charades - Food & Snacks	
Pineapple	Charades - Food & Snacks	
Cherry	Charades - Food & Snacks	
Lemon	Charades - Food & Snacks	
Coconut	Charades - Food & Snacks	
Corn on the Cob	Charades - Food & Snacks	
Carrot	Charades - Food & Snacks	
Broccoli	Charades - Food & Snacks	
Celery Stick	Charades - Food & Snacks	
Pickle	Charades - Food & Snacks	
Sandwich	Charades - Food & Snacks	
Grilled Cheese	Charades - Food & Snacks	
PB&J	Charades - Food & Snacks	
BLT	Charades - Food & Snacks	
Sub Sandwich	Charades - Food & Snacks	
Sushi	Charades - Food & Snacks	
Ramen Noodles	Charades - Food & Snacks	
Fried Rice	Charades - Food & Snacks	
